ID_Funcionario,ID_Cargo,ID_Departamento,Nome_Funcionario,DATA_ADMISSAO,DATA_DEMISSAO
1,12,7,Fabriola Pereira,2010-01-10,2022-09-20 00:00:00
2,2,2,Carlos Meireles,2005-04-11,9999-01-01 00:00:00
3,1,1,Adalberto Cristovão,2000-07-11,9999-01-01 00:00:00
4,1,1,Camilla Prado,2000-10-10,9999-01-01 00:00:00
5,2,2,Marcio Tales de Souza,2001-01-09,9999-01-01 00:00:00
6,6,5,Fernando da Silva,2000-04-10,9999-01-01 00:00:00
7,3,3,Barbara Maria,2000-07-11,9999-01-01 00:00:00
8,12,7,Alice Meire ,2000-10-10,9999-01-01 00:00:00
9,5,6,João Da Silva,1999-01-09,9999-01-01 00:00:00
10,4,4,Marcos Prado,1997-04-10,9999-01-01 00:00:00
11,12,7,Claudia Cristina,2012-10-10,9999-01-01 00:00:00
